Bug ID,chunk
184818,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: [DataBinding] Typo in example 3
Resolution: FIXED"
113338,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: [sort members] Usability improvements of sort members action
Resolution: FIXED"
17633,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: ActionDelegateHelper should nullify fTextEditor when it does not need it
Resolution: FIXED"
177676,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: [JUnit] Problems with JUnits with multiple versions of same bundle
Resolution: FIXED"
82231,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: [build path] Hard to find type restriction compiler problem preferences
Resolution: FIXED"
463949,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: [Browsers] org.eclipse.ui.internal.browser.ExternalBrowserInstance.openUrl() should use open(1) --args on OS X
Resolution: FIXED"
6446,"Product: JDT
Component: Debug
Severity: normal
Priority: P1
Summary: RunToLine needs shortcut
Resolution: FIXED"
364437,"Product: JDT
Component: Core
Severity: normal
Priority: P3
Summary: Dilip is learning bugzilla bug tracker
Resolution: INVALID"
491265,"Product: Platform
Component: User Assistance
Severity: minor
Priority: P3
Summary: Generify org.eclipse.ui.intro*
Resolution: FIXED"
17889,"Product: Platform
Component: Compare
Severity: critical
Priority: P1
Summary: Should not assume type of PropertyChangeEvent values
Resolution: FIXED"
135231,"Product: Platform
Component: Text
Severity: normal
Priority: P2
Summary: [api][rulers] make revision selection provider accessible
Resolution: FIXED"
152625,"Product: Platform
Component: Ant
Severity: normal
Priority: P3
Summary: Adapt external tools to the propertyPages extension point deprecations
Resolution: FIXED"
500344,"Product: Platform
Component: Ant
Severity: enhancement
Priority: P3
Summary: Always wrap cause if throwing new exception
Resolution: FIXED"
229045,"Product: JDT
Component: Text
Severity: normal
Priority: P3
Summary: [breadcrumb] Does not show popup arrow if first child added
Resolution: FIXED"
76250,"Product: Platform
Component: UI
Severity: normal
Priority: P2
Summary: [Progress] [Dialogs] Dialog too small when showing details
Resolution: FIXED"
198694,"Product: Platform
Component: UI
Severity: enhancement
Priority: P3
Summary: [EditorMgmt] [registry] Improve InstantiationException message thrown from RegistryStrategyOSGI.createExecutableExtension
Resolution: FIXED"
7067,"Product: JDT
Component: Debug
Severity: normal
Priority: P1
Summary: native method exception retrieving source name
Resolution: FIXED"
62234,"Product: Platform
Component: Ant
Severity: normal
Priority: P3
Summary: Ant color settings should NOT be shown in Workbench>Colors and Fonts
Resolution: FIXED"
85550,"Product: Platform
Component: Ant
Severity: normal
Priority: P3
Summary: ant builder always cleans
Resolution: FIXED"
382024,"Product: PDE
Component: Doc
Severity: trivial
Priority: P3
Summary: Text slightly confusing on New Feature Patch Project wizard doc
Resolution: FIXED"
57853,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: Persist Display view contents during a session
Resolution: FIXED"
414797,"Product: Platform
Component: Releng
Severity: major
Priority: P2
Summary: org.eclipse.sdk.examples-4.4M1.zip not available from DL page
Resolution: FIXED"
100787,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: [search] JavaSearchEditorOpener holds onto last used editor
Resolution: FIXED"
27050,"Product: Platform
Component: Ant
Severity: normal
Priority: P3
Summary: NullBuildLogger no longer needed
Resolution: FIXED"
429108,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: Remove deleted file from bin.includes
Resolution: FIXED"
61427,"Product: Platform
Component: Debug
Severity: major
Priority: P3
Summary: LaunchConfigurationDialog leaked for each use
Resolution: FIXED"
90975,"Product: Platform
Component: Debug
Severity: major
Priority: P2
Summary: Consoles removed when using multiple windows
Resolution: FIXED"
434298,"Product: PDE
Component: API Tools
Severity: normal
Priority: P3
Summary: Javadoc tags to annotations wizard does not report progress
Resolution: FIXED"
139838,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: [Memory View] Widget disposed exception in table viewers
Resolution: FIXED"
329751,"Product: Platform
Component: UI
Severity: minor
Priority: P3
Summary: Duplicate mnemonic 'D' on 'Appearance' preference page
Resolution: FIXED"
6834,"Product: JDT
Component: Debug
Severity: critical
Priority: P1
Summary: ClassCastExeption running Eclipse on Linux
Resolution: FIXED"
77181,"Product: JDT
Component: Text
Severity: major
Priority: P2
Summary: [projection] Line numbers not updated during search in Java editor
Resolution: FIXED"
98976,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: Examples plug-in fails to load.
Resolution: WORKSFORME"
461059,"Product: Platform
Component: User Assistance
Severity: normal
Priority: P3
Summary: Prevent dirt in workspace
Resolution: FIXED"
435488,"Product: Platform
Component: UI
Severity: blocker
Priority: P3
Summary: java.lang.NoSuchMethodError: org.eclipse.e4.ui.css.swt.helpers.EclipsePreferencesHelper.getOverriddenPropertyNames(Lorg/eclipse/core/runtime/preferences/IEclipsePreferences;)Ljava/util/List;
Resolution: FIXED"
171049,"Product: JDT
Component: UI
Severity: enhancement
Priority: P2
Summary: [build path] use the new 'deprecated' and 'read-only' classpath variables
Resolution: FIXED"
187290,"Product: JDT
Component: UI
Severity: trivial
Priority: P3
Summary: [package explorer] [working sets] 'New...' button missing mnemonic on assign WS dialog
Resolution: FIXED"
15850,"Product: Platform
Component: Debug
Severity: normal
Priority: P1
Summary: LaunchView changes required from platform ui changes
Resolution: FIXED"
73549,"Product: Platform
Component: UI
Severity: enhancement
Priority: P2
Summary: [Encoding] Add a unicode entry to the list
Resolution: FIXED"
271785,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: Migrate compilation error/uncaught exception handling to breakpoint listener extension
Resolution: FIXED"
155834,"Product: JDT
Component: UI
Severity: minor
Priority: P3
Summary: [build path] Linking source to project should always be available
Resolution: FIXED"
31244,"Product: JDT
Component: UI
Severity: critical
Priority: P1
Summary: Renaming linked source folder copies content
Resolution: FIXED"
19768,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: Wrong key in plugin.xml
Resolution: FIXED"
94738,"Product: JDT
Component: Text
Severity: normal
Priority: P2
Summary: [misc] Occurrences marking not always updated on typing
Resolution: FIXED"
15197,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: Prompt when > 1 config for selected type
Resolution: FIXED"
6668,"Product: JDT
Component: UI
Severity: normal
Priority: P1
Summary: 'Replace from History' doesn't use source range from working copy
Resolution: FIXED"
