Bug ID,Product,Component,Severity,Priority,Resolution,Summary,text
184818,Platform,UI,normal,P3,FIXED,[DataBinding] Typo in example 3,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: [DataBinding] Typo in example 3
Resolution: FIXED"
113338,JDT,UI,normal,P3,FIXED,[sort members] Usability improvements of sort members action,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: [sort members] Usability improvements of sort members action
Resolution: FIXED"
17633,JDT,Debug,normal,P2,FIXED,ActionDelegateHelper should nullify fTextEditor when it does not need it,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: ActionDelegateHelper should nullify fTextEditor when it does not need it
Resolution: FIXED"
177676,JDT,UI,normal,P3,FIXED,[JUnit] Problems with JUnits with multiple versions of same bundle,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: [JUnit] Problems with JUnits with multiple versions of same bundle
Resolution: FIXED"
82231,JDT,UI,normal,P3,FIXED,[build path] Hard to find type restriction compiler problem preferences,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: [build path] Hard to find type restriction compiler problem preferences
Resolution: FIXED"
463949,Platform,UI,normal,P3,FIXED,[Browsers] org.eclipse.ui.internal.browser.ExternalBrowserInstance.openUrl() should use open(1) --args on OS X,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: [Browsers] org.eclipse.ui.internal.browser.ExternalBrowserInstance.openUrl() should use open(1) --args on OS X
Resolution: FIXED"
6446,JDT,Debug,normal,P1,FIXED,RunToLine needs shortcut,"Product: JDT
Component: Debug
Severity: normal
Priority: P1
Summary: RunToLine needs shortcut
Resolution: FIXED"
364437,JDT,Core,normal,P3,INVALID,Dilip is learning bugzilla bug tracker,"Product: JDT
Component: Core
Severity: normal
Priority: P3
Summary: Dilip is learning bugzilla bug tracker
Resolution: INVALID"
491265,Platform,User Assistance,minor,P3,FIXED,Generify org.eclipse.ui.intro*,"Product: Platform
Component: User Assistance
Severity: minor
Priority: P3
Summary: Generify org.eclipse.ui.intro*
Resolution: FIXED"
17889,Platform,Compare,critical,P1,FIXED,Should not assume type of PropertyChangeEvent values,"Product: Platform
Component: Compare
Severity: critical
Priority: P1
Summary: Should not assume type of PropertyChangeEvent values
Resolution: FIXED"
135231,Platform,Text,normal,P2,FIXED,[api][rulers] make revision selection provider accessible,"Product: Platform
Component: Text
Severity: normal
Priority: P2
Summary: [api][rulers] make revision selection provider accessible
Resolution: FIXED"
152625,Platform,Ant,normal,P3,FIXED,Adapt external tools to the propertyPages extension point deprecations,"Product: Platform
Component: Ant
Severity: normal
Priority: P3
Summary: Adapt external tools to the propertyPages extension point deprecations
Resolution: FIXED"
500344,Platform,Ant,enhancement,P3,FIXED,Always wrap cause if throwing new exception,"Product: Platform
Component: Ant
Severity: enhancement
Priority: P3
Summary: Always wrap cause if throwing new exception
Resolution: FIXED"
229045,JDT,Text,normal,P3,FIXED,[breadcrumb] Does not show popup arrow if first child added,"Product: JDT
Component: Text
Severity: normal
Priority: P3
Summary: [breadcrumb] Does not show popup arrow if first child added
Resolution: FIXED"
76250,Platform,UI,normal,P2,FIXED,[Progress] [Dialogs] Dialog too small when showing details,"Product: Platform
Component: UI
Severity: normal
Priority: P2
Summary: [Progress] [Dialogs] Dialog too small when showing details
Resolution: FIXED"
198694,Platform,UI,enhancement,P3,FIXED,[EditorMgmt] [registry] Improve InstantiationException message thrown from RegistryStrategyOSGI.createExecutableExtension,"Product: Platform
Component: UI
Severity: enhancement
Priority: P3
Summary: [EditorMgmt] [registry] Improve InstantiationException message thrown from RegistryStrategyOSGI.createExecutableExtension
Resolution: FIXED"
7067,JDT,Debug,normal,P1,FIXED,native method exception retrieving source name,"Product: JDT
Component: Debug
Severity: normal
Priority: P1
Summary: native method exception retrieving source name
Resolution: FIXED"
62234,Platform,Ant,normal,P3,FIXED,Ant color settings should NOT be shown in Workbench>Colors and Fonts,"Product: Platform
Component: Ant
Severity: normal
Priority: P3
Summary: Ant color settings should NOT be shown in Workbench>Colors and Fonts
Resolution: FIXED"
85550,Platform,Ant,normal,P3,FIXED,ant builder always cleans,"Product: Platform
Component: Ant
Severity: normal
Priority: P3
Summary: ant builder always cleans
Resolution: FIXED"
382024,PDE,Doc,trivial,P3,FIXED,Text slightly confusing on New Feature Patch Project wizard doc,"Product: PDE
Component: Doc
Severity: trivial
Priority: P3
Summary: Text slightly confusing on New Feature Patch Project wizard doc
Resolution: FIXED"
57853,JDT,Debug,normal,P3,FIXED,Persist Display view contents during a session,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: Persist Display view contents during a session
Resolution: FIXED"
414797,Platform,Releng,major,P2,FIXED,org.eclipse.sdk.examples-4.4M1.zip not available from DL page,"Product: Platform
Component: Releng
Severity: major
Priority: P2
Summary: org.eclipse.sdk.examples-4.4M1.zip not available from DL page
Resolution: FIXED"
100787,JDT,UI,normal,P3,FIXED,[search] JavaSearchEditorOpener holds onto last used editor,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: [search] JavaSearchEditorOpener holds onto last used editor
Resolution: FIXED"
27050,Platform,Ant,normal,P3,FIXED,NullBuildLogger no longer needed,"Product: Platform
Component: Ant
Severity: normal
Priority: P3
Summary: NullBuildLogger no longer needed
Resolution: FIXED"
429108,Platform,UI,normal,P3,FIXED,Remove deleted file from bin.includes,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: Remove deleted file from bin.includes
Resolution: FIXED"
61427,Platform,Debug,major,P3,FIXED,LaunchConfigurationDialog leaked for each use,"Product: Platform
Component: Debug
Severity: major
Priority: P3
Summary: LaunchConfigurationDialog leaked for each use
Resolution: FIXED"
